LAT,LON,YEAR,MO,DY,Relative Humidity,Temp Range,EarthSkin Temp,Dew Point,Wet Bulb Temp,Max Temp,Min Temp,Temp
6.79661,79.90081,2000,1,1,74.74,5.87,26.26,20.77,20.77,28.56,22.69,25.63
6.79661,79.90081,2000,1,2,79.9,4.57,26.41,21.99,21.99,28.4,23.83,25.75
6.79661,79.90081,2000,1,3,85.37,2.51,26.24,23.12,23.12,27.26,24.75,25.76
6.79661,79.90081,2000,1,4,84.79,3.43,26.25,23.02,23.02,27.81,24.38,25.78
6.79661,79.90081,2000,1,5,86.38,2.82,26.12,23.27,23.27,27.34,24.52,25.72
6.79661,79.90081,2000,1,6,88.42,1.74,25.99,23.55,23.55,26.53,24.79,25.61
6.79661,79.90081,2000,1,7,86.3,2.88,25.88,23.21,23.21,27.28,24.39,25.67
6.79661,79.90081,2000,1,8,85.33,3.9,26.13,23.28,23.28,28.13,24.23,25.94
6.79661,79.90081,2000,1,9,84.84,2.51,26.04,22.87,22.87,26.98,24.47,25.61
6.79661,79.90081,2000,1,10,81.97,4.13,26.78,23.2,23.2,28.59,24.45,26.53
6.79661,79.90081,2000,1,11,83.96,3.55,26.7,23.43,23.43,28.19,24.64,26.35
6.79661,79.90081,2000,1,12,81.69,4.3,26.73,23.2,23.2,28.91,24.61,26.59
6.79661,79.90081,2000,1,13,80.39,5,26.83,22.94,22.94,29.17,24.17,26.6
6.79661,79.90081,2000,1,14,84.9,2.31,26.27,22.83,22.83,26.83,24.52,25.55
6.79661,79.90081,2000,1,15,83.12,2.3,26.24,22.26,22.26,26.7,24.4,25.34
6.79661,79.90081,2000,1,16,81.43,4.39,26.64,22.75,22.75,28.6,24.21,26.19
6.79661,79.90081,2000,1,17,78.84,4.81,26.54,22.31,22.31,28.97,24.16,26.29
6.79661,79.90081,2000,1,18,75.52,5.96,26.18,21.31,21.31,29.32,23.37,26
6.79661,79.90081,2000,1,19,74.75,6.28,26.4,21.19,21.19,29.35,23.07,26.05
6.79661,79.90081,2000,1,20,71.75,6.39,26.72,20.51,20.51,29.38,22.99,26.04
6.79661,79.90081,2000,1,21,68.64,6.53,26.59,19.23,19.23,28.78,22.24,25.54
6.79661,79.90081,2000,1,22,72.36,5.55,26.56,20.01,20.01,28.21,22.66,25.4
6.79661,79.90081,2000,1,23,73.68,5.45,26.4,20.25,20.25,27.95,22.5,25.34
6.79661,79.90081,2000,1,24,72.93,6.01,26.84,20.86,20.86,29.1,23.09,26.14
6.79661,79.90081,2000,1,25,70.5,6.49,26.91,20.39,20.39,29.69,23.2,26.22
