LAT,LON,YEAR,MO,DY,RH2M,T2M
6.79601,79.90121,1997,1,1,71.44,26.79
6.79601,79.90121,1997,1,2,68.81,26.92
6.79601,79.90121,1997,1,3,66.84,27.2
6.79601,79.90121,1997,1,4,65.51,26.96
6.79601,79.90121,1997,1,5,66.77,26.25
6.79601,79.90121,1997,1,6,61.98,26.39
6.79601,79.90121,1997,1,7,67.38,26.34
6.79601,79.90121,1997,1,8,66.07,26.95
6.79601,79.90121,1997,1,9,67.77,27.53
6.79601,79.90121,1997,1,10,69.44,27.72
6.79601,79.90121,1997,1,11,68.68,27.86
6.79601,79.90121,1997,1,12,66.71,28.2
6.79601,79.90121,1997,1,13,64.27,27.92
6.79601,79.90121,1997,1,14,62.04,27.4
6.79601,79.90121,1997,1,15,63.14,27.79
6.79601,79.90121,1997,1,16,64.69,27.92
6.79601,79.90121,1997,1,17,62.43,27.71
6.79601,79.90121,1997,1,18,62.96,27.65
6.79601,79.90121,1997,1,19,63.4,27.7
6.79601,79.90121,1997,1,20,63.38,27.34
6.79601,79.90121,1997,1,21,64.32,27.45
6.79601,79.90121,1997,1,22,64.84,27.46
6.79601,79.90121,1997,1,23,58.46,28.04
6.79601,79.90121,1997,1,24,56.77,27.67
6.79601,79.90121,1997,1,25,60.97,27.52
6.79601,79.90121,1997,1,26,64.05,27.51
6.79601,79.90121,1997,1,27,58.62,27.15
6.79601,79.90121,1997,1,28,58.31,27.05
6.79601,79.90121,1997,1,29,65.98,27.05
6.79601,79.90121,1997,1,30,66.86,27.21
6.79601,79.90121,1997,1,31,63.15,26.93
6.79601,79.90121,1997,2,1,61.59,26.65
6.79601,79.90121,1997,2,2,61.66,26.34
6.79601,79.90121,1997,2,3,57.52,26.83
6.79601,79.90121,1997,2,4,61.55,27.06
6.79601,79.90121,1997,2,5,67.4,27.65
6.79601,79.90121,1997,2,6,75.17,27.18
6.79601,79.90121,1997,2,7,63.54,27.62
6.79601,79.90121,1997,2,8,62.02,27.37
6.79601,79.90121,1997,2,9,60.67,27.15
6.79601,79.90121,1997,2,10,66.45,27.3
6.79601,79.90121,1997,2,11,58,28
6.79601,79.90121,1997,2,12,57.04,27.7
6.79601,79.90121,1997,2,13,60.49,27.79
6.79601,79.90121,1997,2,14,64.03,27.94
6.79601,79.90121,1997,2,15,65.4,27.6
6.79601,79.90121,1997,2,16,66.53,27.77
6.79601,79.90121,1997,2,17,68.66,28.02
6.79601,79.90121,1997,2,18,69.76,27.97
6.79601,79.90121,1997,2,19,72.94,27.74
6.79601,79.90121,1997,2,20,74.08,27.69
6.79601,79.90121,1997,2,21,69.22,28.15
6.79601,79.90121,1997,2,22,69.11,28.38
6.79601,79.90121,1997,2,23,66.16,28.18
6.79601,79.90121,1997,2,24,58.36,28.35
6.79601,79.90121,1997,2,25,56.13,27.99
6.79601,79.90121,1997,2,26,54.02,27.97
6.79601,79.90121,1997,2,27,55.06,27.61
6.79601,79.90121,1997,2,28,54.53,28.05
6.79601,79.90121,1997,3,1,66.28,28.03
6.79601,79.90121,1997,3,2,71.51,27.8
6.79601,79.90121,1997,3,3,65.69,28.29
6.79601,79.90121,1997,3,4,66.7,28.13
6.79601,79.90121,1997,3,5,68.83,27.94
6.79601,79.90121,1997,3,6,67.89,28.11
6.79601,79.90121,1997,3,7,64.92,28.39
6.79601,79.90121,1997,3,8,63.3,28.55
6.79601,79.90121,1997,3,9,68.1,28.3
6.79601,79.90121,1997,3,10,65.85,28.29
6.79601,79.90121,1997,3,11,65.17,28.44
6.79601,79.90121,1997,3,12,69.52,28.36
6.79601,79.90121,1997,3,13,70.82,28.15
6.79601,79.90121,1997,3,14,69.93,28.27
6.79601,79.90121,1997,3,15,65.94,28.3
6.79601,79.90121,1997,3,16,64.14,28.44
6.79601,79.90121,1997,3,17,64.57,28.46
6.79601,79.90121,1997,3,18,63.08,28.6
6.79601,79.90121,1997,3,19,60.79,28.62
6.79601,79.90121,1997,3,20,65.05,28.48
6.79601,79.90121,1997,3,21,68.47,28.53
6.79601,79.90121,1997,3,22,65.54,28.83
6.79601,79.90121,1997,3,23,66.69,28.57
6.79601,79.90121,1997,3,24,66.86,28.57
6.79601,79.90121,1997,3,25,66.22,29.09
6.79601,79.90121,1997,3,26,63.64,29.76
6.79601,79.90121,1997,3,27,66.6,29.68
6.79601,79.90121,1997,3,28,68.87,29.38
6.79601,79.90121,1997,3,29,69.57,29.15
6.79601,79.90121,1997,3,30,74.96,28.36
6.79601,79.90121,1997,3,31,74.51,27.95
6.79601,79.90121,1997,4,1,76.59,27.45
